"Method","Path","Status","Result","Notes"
"POST","/auth/login","200","PASS","Login successful"
"POST","/auth/login","401","PASS","expected error 401"
"GET","/auth/me","200","PASS","ok"
"POST","/auth/refresh","200","PASS","Token refreshed"
"GET","/auth/me","401","PASS","expected error 401"
"GET","/users?page=0&size=5","200","PASS","ok"
"GET","/users/2","200","PASS","ok"
"GET","/users/99999","404","PASS","expected error 404"
"GET","/organizations","200","PASS","ok"
"GET","/projects?page=0&size=10","200","PASS","ok"
"GET","/projects/all","200","PASS","ok"
"GET","/projects/MWS","200","PASS","ok"
"GET","/projects/MWS/members","200","PASS","ok"
"GET","/projects/ZZZZ","404","PASS","expected error 404"
"GET","/dashboard/stats","200","PASS","ok"
"GET","/dashboard/my-open-issues","200","PASS","ok"
"GET","/dashboard/assigned-to-me","200","PASS","ok"
"GET","/dashboard/activity","200","PASS","ok"
"GET","/dashboard/missing","404","PASS","expected error 404"
"GET","/issues?projectKey=MWS&page=0&size=5","200","PASS","ok"
"GET","/issues/my-work?page=0&size=5","200","PASS","ok"
"GET","/issues/search?jql=project%20%3D%20MWS&page=0&size=5","200","PASS","ok"
"GET","/issues/search?project=MWS&status=To%20Do&page=0&size=5","200","PASS","ok"
"GET","/issues/MWS-1","200","PASS","ok"
"GET","/issues/MWS-1/comments","200","PASS","ok"
"GET","/issues/MWS-1/activity","200","PASS","ok"
"GET","/issues/MWS-1/subtasks","200","PASS","ok"
"GET","/issues/NOPE-999","404","PASS","expected error 404"
"GET","/projects/MWS/board","200","PASS","ok"
"GET","/projects/MWS/backlog","200","PASS","ok"
"GET","/projects/MWS/sprints","200","PASS","ok"
"GET","/projects/MWS/statuses","200","PASS","ok"
"GET","/projects/MWS/labels","200","PASS","ok"
"GET","/projects/MWS/components","200","PASS","ok"
"GET","/search?q=MWS","200","PASS","ok"
"GET","/search?q=","200","PASS","ok"
"GET","/filters","200","PASS","ok"
"GET","/notifications?page=0&size=5","200","PASS","ok"
"GET","/notifications/unread-count","200","PASS","ok"
"GET","/dashboards","200","PASS","ok"
"GET","/workflows/1/statuses","200","PASS","ok"
"GET","/workflows/1/transitions","200","PASS","ok"
"GET","/boards?projectId=1","200","PASS","ok"
"GET","/sprints?projectId=1","200","PASS","ok"
"GET","/labels?projectId=1","200","PASS","ok"
"GET","/components?projectId=1","200","PASS","ok"
"POST","/projects/MWS/issues","201","PASS","Issue created"
"PATCH","/issues/MWS-41/priority","200","PASS","Priority updated"
"PATCH","/issues/MWS-41/status","200","PASS","Status updated"
"PATCH","/issues/MWS-41/status","422","PASS","expected client/server error"
"POST","/issues/MWS-41/comments","201","PASS","Comment added"
"POST","/issues/MWS-41/watch","200","PASS","Watching issue"
"DELETE","/issues/MWS-41/watch","200","PASS","Stopped watching issue"
"DELETE","/issues/MWS-41","200","PASS","Issue deleted"
"GET","/actuator/health","200","PASS","UP"
